State,District,Market,Commodity,Variety,Arrival_Date,Min Price,Max Price,Modal Price
Chattisgarh,Bilaspur,Tiphra,Bottle gourd,Bottle Gourd,03/09/2022,1200,1500,1300
Chattisgarh,Bilaspur,Tiphra,Brinjal,Brinjal,03/09/2022,1700,1900,1800
Chattisgarh,Bilaspur,Tiphra,Cabbage,Cabbage,03/09/2022,1800,2000,1900
Chattisgarh,Bilaspur,Tiphra,Capsicum,Capsicum,03/09/2022,4000,4200,4100
Chattisgarh,Bilaspur,Tiphra,Carrot,Carrot,03/09/2022,3600,3900,3700
Chattisgarh,Bilaspur,Tiphra,Cauliflower,Cauliflower,03/09/2022,4700,4900,4800
Chattisgarh,Bilaspur,Tiphra,Cluster beans,Cluster Beans,03/09/2022,3400,3800,3700
Chattisgarh,Bilaspur,Tiphra,Drumstick,Drumstick,03/09/2022,2200,2500,2400
Chattisgarh,Bilaspur,Tiphra,Green Chilli,Green Chilly,03/09/2022,4000,4500,4200
Chattisgarh,Bilaspur,Tiphra,Lemon,Lemon,03/09/2022,3700,4000,3900
Chattisgarh,Bilaspur,Tiphra,Little gourd (Kundru),Little gourd (Kundru),03/09/2022,1200,1600,1400
Chattisgarh,Bilaspur,Tiphra,Mousambi(Sweet Lime),Mousambi,03/09/2022,4100,4400,4300
Chattisgarh,Bilaspur,Tiphra,Onion,Other,03/09/2022,1500,1700,1600
Chattisgarh,Bilaspur,Tiphra,Papaya,Papaya,03/09/2022,3500,3700,3600
Chattisgarh,Bilaspur,Tiphra,Pear(Marasebu),Pears,03/09/2022,3200,3500,3400
Chattisgarh,Bilaspur,Tiphra,Pointed gourd (Parval),Other,03/09/2022,2100,2300,2200
Chattisgarh,Bilaspur,Tiphra,Pomegranate,Pomogranate,03/09/2022,9100,9500,9400
Chattisgarh,Bilaspur,Tiphra,Potato,Other,03/09/2022,2500,2800,2600
Chattisgarh,Bilaspur,Tiphra,Pumpkin,Pumpkin,03/09/2022,1300,1500,1450
Chattisgarh,Bilaspur,Tiphra,Raddish,Raddish,03/09/2022,900,1100,1000
Chattisgarh,Bilaspur,Tiphra,Ridgeguard(Tori),Ridgeguard(Tori),03/09/2022,1200,1500,1300
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,03/09/2022,1200,1500,1400
Chattisgarh,Dantewada,Gidam,Paddy(Dhan)(Common),Paddy Medium,03/09/2022,1200,1400,1300
Chattisgarh,Dhamtari,Dhamtari,Paddy(Dhan)(Common),B P T,03/09/2022,1796,2270,2100
Chattisgarh,Dhamtari,Dhamtari,Paddy(Dhan)(Common),I.R. 64,03/09/2022,1800,1900,1875
Chattisgarh,Dhamtari,Dhamtari,Paddy(Dhan)(Common),MTU-1010,03/09/2022,1730,1850,1820
Chattisgarh,Dhamtari,Dhamtari,Paddy(Dhan)(Common),Swarna Masuri (OLD),03/09/2022,1700,1730,1710
Chattisgarh,Dhamtari,Nagari,Paddy(Dhan)(Common),I.R. 36,03/09/2022,1750,1765,1760
Chattisgarh,Durg,Durg,Apple,Apple,03/09/2022,9000,11000,10000
Chattisgarh,Durg,Durg,Banana - Green,Banana - Green,03/09/2022,1300,1400,1350
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,03/09/2022,2000,2500,2250
Chattisgarh,Durg,Durg,Bitter gourd,Bitter Gourd,03/09/2022,5500,6000,5750
Chattisgarh,Durg,Durg,Bottle gourd,Bottle Gourd,03/09/2022,1800,2000,1900
Chattisgarh,Durg,Durg,Brinjal,Round/Long,03/09/2022,2500,2600,2550
Chattisgarh,Durg,Durg,Cabbage,Cabbage,03/09/2022,2500,2600,2550
Chattisgarh,Durg,Durg,Capsicum,Capsicum,03/09/2022,5000,5500,5250
Chattisgarh,Durg,Durg,Carrot,Carrot,03/09/2022,4000,4500,4250
Chattisgarh,Durg,Durg,Cauliflower,Cauliflower,03/09/2022,6500,7000,6750
Chattisgarh,Durg,Durg,Coriander(Leaves),Coriander,03/09/2022,7000,8000,7500
Chattisgarh,Durg,Durg,Cucumbar(Kheera),Cucumbar,03/09/2022,2400,2500,2450
Chattisgarh,Durg,Durg,Garlic,Average,03/09/2022,5500,6000,5750
Chattisgarh,Durg,Durg,Ginger(Green),Green Ginger,03/09/2022,5500,6000,5750
Chattisgarh,Durg,Durg,Green Chilli,Green Chilly,03/09/2022,4500,5000,4750
Chattisgarh,Durg,Durg,Guar,Gwar,03/09/2022,3000,3500,3250
Chattisgarh,Durg,Durg,Lemon,Lemon,03/09/2022,7000,7500,7250
Chattisgarh,Durg,Durg,Little gourd (Kundru),Little gourd (Kundru),03/09/2022,2000,2200,2100
Chattisgarh,Durg,Durg,Mousambi(Sweet Lime),Mousambi,03/09/2022,6000,7000,6500
Chattisgarh,Durg,Durg,Onion,Nasik,03/09/2022,1700,1800,1750
Chattisgarh,Durg,Durg,Papaya (Raw),Papaya (Raw),03/09/2022,2500,3000,2750
Chattisgarh,Durg,Durg,Pear(Marasebu),Pears,03/09/2022,6000,8000,7000
